Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,Xiao Liu,,20210622,80000,20210622,100000,poster2443,EuropeAsia,Poster,,poster2443EuropeAsia
2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,Sara Larivière,,20210622,160000,20210622,170000,poster2152,AmericasEurope,Poster,,poster2152AmericasEurope
2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,Sara Larivière,,20210622,0,20210622,10000,poster2152,AmericasAsia,Poster,,poster2152AmericasAsia
2152,Structural covariance network changes in the common epilepsies: a worldwide ENIGMA study,Sara Larivière,,20210624,80000,20210624,100000,poster2152,EuropeAsia,Poster,,poster2152EuropeAsia
1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,Pei-Lin Lee,,20210622,160000,20210622,170000,poster1178,AmericasEurope,Poster,,poster1178AmericasEurope
1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,Pei-Lin Lee,,20210622,0,20210622,10000,poster1178,AmericasAsia,Poster,,poster1178AmericasAsia
1178,Structural volumes and covariance corresponding to chronic pain in fibromyalgia,Pei-Lin Lee,,20210624,80000,20210624,100000,poster1178,EuropeAsia,Poster,,poster1178EuropeAsia
2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R",Amanda Mejia,,20210621,160000,20210621,170000,poster2371,AmericasEurope,Poster,,poster2371AmericasEurope
2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R",Amanda Mejia,,20210623,0,20210623,10000,poster2371,AmericasAsia,Poster,,poster2371AmericasAsia
2371,"The ciftiTools package: Reading, analyzing, visualizing and writing CIFTI files in R",Amanda Mejia,,20210624,80000,20210624,100000,poster2371,EuropeAsia,Poster,,poster2371EuropeAsia
2278,The Cuban Human Brain Mapping Project database,Pedro Sosa,,20210623,160000,20210623,170000,poster2278,AmericasEurope,Poster,,poster2278AmericasEurope
2278,The Cuban Human Brain Mapping Project database,Pedro Sosa,,20210625,0,20210625,10000,poster2278,AmericasAsia,Poster,,poster2278AmericasAsia
2278,The Cuban Human Brain Mapping Project database,Pedro Sosa,,20210622,80000,20210622,100000,poster2278,EuropeAsia,Poster,,poster2278EuropeAsia
2420,Traveling waves within beta bursts in the human motor cortex,Catharina Zich,,20210624,160000,20210624,170000,poster2420,AmericasEurope,Poster,,poster2420AmericasEurope
2420,Traveling waves within beta bursts in the human motor cortex,Catharina Zich,,20210626,0,20210626,10000,poster2420,AmericasAsia,Poster,,poster2420AmericasAsia
2420,Traveling waves within beta bursts in the human motor cortex,Catharina Zich,,20210622,80000,20210622,100000,poster2420,EuropeAsia,Poster,,poster2420EuropeAsia
2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study",Fidel Alfaro Almagro,,20210623,160000,20210623,170000,poster2256,AmericasEurope,Poster,,poster2256AmericasEurope
2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study",Fidel Alfaro Almagro,,20210625,0,20210625,10000,poster2256,AmericasAsia,Poster,,poster2256AmericasAsia
2256,"UK Biobank Brain Imaging Update: 43k subjects, 3k second-scans, new IDPs and confounds, COVID study",Fidel Alfaro Almagro,,20210622,80000,20210622,100000,poster2256,EuropeAsia,Poster,,poster2256EuropeAsia
