Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
Applications of tractomtery to brain development,Sila Genc,,20210602,191134,20210602,194403,tractometry,AmericasEurope,CourseVideo,75362d22-bd82-11eb-903d-1e00b921e125,
Tractometry course: interactive session,Tractometry team,,20210602,200000,20210602,210000,tractometry,AmericasEurope,Roundtables,75367cfa-bd82-11eb-bd89-1e00b921e125,
Time-varying course: welcome AmericasAsia,Fernando Perez,,20210603,233000,20210603,234000,time-varying,AmericasAsia,Announcements,7536cd22-bd82-11eb-afda-1e00b921e125,
Going beyond the static functional connectome: a theoretical and methodological framework,Anjali Tarun,,20210603,234000,20210604,1456,time-varying,AmericasAsia,CourseVideo,75371ce6-bd82-11eb-861b-1e00b921e125,
Interpreting null models of time-varying fMRI,Raphael Liegeois,,20210604,1456,20210604,5427,time-varying,AmericasAsia,CourseVideo,75376c6e-bd82-11eb-b009-1e00b921e125,
Time-varying connectivity: Data-driven approaches and clinical applications,Vince Calhoun,,20210604,5427,20210604,12602,time-varying,AmericasAsia,CourseVideo,7537bc5a-bd82-11eb-9ccc-1e00b921e125,
Mechanistic principles of Resting-State Networks and their modulation over time,Joana Cabral,,20210604,13200,20210604,15727,time-varying,AmericasAsia,CourseVideo,75380c14-bd82-11eb-a800-1e00b921e125,
Biophysical models of dynamic functional connectivity: Linking scales and data modalities,Michael Breakspear,,20210604,15727,20210604,22343,time-varying,AmericasAsia,CourseVideo,75385c34-bd82-11eb-bdc0-1e00b921e125,
Timescales of variation in human functional brain networks,Caterina Gratton,,20210604,22343,20210604,25335,time-varying,AmericasAsia,CourseVideo,7538ac78-bd82-11eb-9395-1e00b921e125,
Time-varying course: interactive session,Time-varying team,,20210604,30000,20210604,40000,time-varying,AmericasAsia,Roundtables,7538fc0a-bd82-11eb-9ab5-1e00b921e125,
Time-varying course: welcome AmericasEurope,Fernando Perez,,20210603,153000,20210603,154000,time-varying,AmericasEurope,Announcements,75394c14-bd82-11eb-977b-1e00b921e125,
Going beyond the static functional connectome: a theoretical and methodological framework,Anjali Tarun,,20210603,154000,20210603,161456,time-varying,AmericasEurope,CourseVideo,75399c3a-bd82-11eb-9ff1-1e00b921e125,
Interpreting null models of time-varying fMRI,Raphael Liegeois,,20210603,161456,20210603,165427,time-varying,AmericasEurope,CourseVideo,7539ec00-bd82-11eb-b765-1e00b921e125,
